,generalcommodity,datetime,tons
533,Refuse,2017-06-18,42.0
534,Refuse,2017-06-19,3698.0
535,Refuse,2017-06-20,3380.0
536,Refuse,2017-06-21,3299.0
537,Refuse,2017-06-22,3107.0
538,Refuse,2017-06-23,3299.0
539,Refuse,2017-06-24,58.0
540,Refuse,2017-06-25,60.0
541,Refuse,2017-06-26,3659.0
542,Refuse,2017-06-27,3079.0
543,Refuse,2017-06-28,3188.0
544,Refuse,2017-06-29,3308.0
545,Refuse,2017-06-30,3210.0
546,Refuse,2017-07-01,48.0
547,Refuse,2017-07-02,55.0
548,Refuse,2017-07-03,3782.0
549,Refuse,2017-07-04,72.0
550,Refuse,2017-07-05,3623.0
551,Refuse,2017-07-06,3713.0
552,Refuse,2017-07-07,3435.0
553,Refuse,2017-07-08,3531.0
554,Refuse,2017-07-09,48.0
555,Refuse,2017-07-10,3556.0
556,Refuse,2017-07-11,3335.0
557,Refuse,2017-07-12,3195.0
558,Refuse,2017-07-13,2843.0
559,Refuse,2017-07-14,2871.0
560,Refuse,2017-07-15,54.0
561,Refuse,2017-07-16,53.0
562,Refuse,2017-07-17,3550.0
563,Refuse,2017-07-18,3372.0
564,Refuse,2017-07-19,3476.0
565,Refuse,2017-07-20,3123.0
566,Refuse,2017-07-21,3139.0
567,Refuse,2017-07-22,56.0
568,Refuse,2017-07-23,38.0
569,Refuse,2017-07-24,3413.0
570,Refuse,2017-07-25,3394.0
571,Refuse,2017-07-26,3364.0
572,Refuse,2017-07-27,3219.0
573,Refuse,2017-07-28,3198.0
574,Refuse,2017-07-29,52.0
575,Refuse,2017-07-30,53.0
576,Refuse,2017-07-31,3560.0
577,Refuse,2017-08-01,3532.0
578,Refuse,2017-08-02,3323.0
579,Refuse,2017-08-03,3058.0
580,Refuse,2017-08-04,3152.0
581,Refuse,2017-08-05,64.0
582,Refuse,2017-08-06,59.0
583,Refuse,2017-08-07,3506.0
584,Refuse,2017-08-08,3390.0
585,Refuse,2017-08-09,3434.0
586,Refuse,2017-08-10,3158.0
587,Refuse,2017-08-11,3087.0
588,Refuse,2017-08-12,66.0
589,Refuse,2017-08-13,54.0
590,Refuse,2017-08-14,3512.0
591,Refuse,2017-08-15,3548.0
592,Refuse,2017-08-16,3229.0
593,Refuse,2017-08-17,3267.0
594,Refuse,2017-08-18,3077.0
595,Refuse,2017-08-19,46.0
596,Refuse,2017-08-20,65.0
597,Refuse,2017-08-21,3668.0
