year,month_year,date,day_count
2021,2021-05,2021-05-30,101225
2021,2021-05,2021-05-29,93791
2021,2021-05,2021-05-28,109557
2021,2021-05,2021-05-27,92375
2021,2021-05,2021-05-26,128120
2021,2021-05,2021-05-25,196799
2021,2021-05,2021-05-24,258703
2021,2021-05,2021-05-23,136735
2021,2021-05,2021-05-22,213348
2021,2021-05,2021-05-21,176547
2021,2021-05,2021-05-20,392418
2021,2021-05,2021-05-19,358666
2021,2021-05,2021-05-18,195165
2021,2021-05,2021-05-17,322352
2021,2021-05,2021-05-16,467764
2021,2021-05,2021-05-15,142158
2021,2021-05,2021-05-14,371474
2021,2021-05,2021-05-13,844009
2021,2021-05,2021-05-12,309964
2021,2021-05,2021-05-11,332194
2021,2021-05,2021-05-10,250622
2021,2021-05,2021-05-09,414745
2021,2021-05,2021-05-08,316933
2021,2021-05,2021-05-07,397690
2021,2021-05,2021-05-06,215956
2021,2021-05,2021-05-05,161247
2021,2021-05,2021-05-04,93349
2021,2021-05,2021-05-03,84453
2021,2021-05,2021-05-02,148251
2021,2021-05,2021-05-01,118893
2021,2021-04,2021-04-30,86357
2021,2021-04,2021-04-29,100869
2021,2021-04,2021-04-28,212268
2021,2021-04,2021-04-27,128885
2021,2021-04,2021-04-26,97429
2021,2021-04,2021-04-25,184308
2021,2021-04,2021-04-24,261388
2021,2021-04,2021-04-23,119696
2021,2021-04,2021-04-22,154914
2021,2021-04,2021-04-21,86637
2021,2021-04,2021-04-20,129221
2021,2021-04,2021-04-19,92074
2021,2021-04,2021-04-18,88849
2021,2021-04,2021-04-17,241685
2021,2021-04,2021-04-16,296140
2021,2021-04,2021-04-15,168584
2021,2021-04,2021-04-14,100015
2021,2021-04,2021-04-13,48912
2021,2021-04,2021-04-12,60915
2021,2021-04,2021-04-11,107330
2021,2021-04,2021-04-10,200907
2021,2021-04,2021-04-09,179719
2021,2021-04,2021-04-08,60212
2021,2021-04,2021-04-07,69515
2021,2021-04,2021-04-06,61370
2021,2021-04,2021-04-05,102400
2021,2021-04,2021-04-04,101836
2021,2021-04,2021-04-03,117724
2021,2021-04,2021-04-02,64744
2021,2021-04,2021-04-01,158272
2021,2021-03,2021-03-31,69193
2021,2021-03,2021-03-30,135631
2021,2021-03,2021-03-29,67941
2021,2021-03,2021-03-28,126023
2021,2021-03,2021-03-27,116698
2021,2021-03,2021-03-26,92851
2021,2021-03,2021-03-25,225860
2021,2021-03,2021-03-24,259678
2021,2021-03,2021-03-23,98456
2021,2021-03,2021-03-22,58663
2021,2021-03,2021-03-21,87906
2021,2021-03,2021-03-20,82586
2021,2021-03,2021-03-19,108533
2021,2021-03,2021-03-18,85803
2021,2021-03,2021-03-17,68746
2021,2021-03,2021-03-16,85066
2021,2021-03,2021-03-15,139833
2021,2021-03,2021-03-14,235901
2021,2021-03,2021-03-13,116763
2021,2021-03,2021-03-12,75019
2021,2021-03,2021-03-11,45948
2021,2021-03,2021-03-10,42122
2021,2021-03,2021-03-09,52059
2021,2021-03,2021-03-08,126434
2021,2021-03,2021-03-07,80169
2021,2021-03,2021-03-06,194821
2021,2021-03,2021-03-05,147195
2021,2021-03,2021-03-04,106153
2021,2021-03,2021-03-03,153110
2021,2021-03,2021-03-02,173514
2021,2021-03,2021-03-01,164698
2021,2021-02,2021-02-28,34069
2021,2021-02,2021-02-27,69612
2021,2021-02,2021-02-26,209024
2021,2021-02,2021-02-25,322521
2021,2021-02,2021-02-24,262206
2021,2021-02,2021-02-23,231053
2021,2021-02,2021-02-22,192602
2021,2021-02,2021-02-21,257619
2021,2021-02,2021-02-20,226201
2021,2021-02,2021-02-19,164366
2021,2021-02,2021-02-18,95070
2021,2021-02,2021-02-17,212210
2021,2021-02,2021-02-16,191035
2021,2021-02,2021-02-15,1224570
2021,2021-02,2021-02-14,301158
2021,2021-02,2021-02-13,395391
2021,2021-02,2021-02-12,192007
2021,2021-02,2021-02-11,205008
2021,2021-02,2021-02-10,279238
2021,2021-02,2021-02-09,162858
2021,2021-02,2021-02-08,428787
2021,2021-02,2021-02-07,410004
2021,2021-02,2021-02-06,307432
2021,2021-02,2021-02-05,146712
2021,2021-02,2021-02-04,769568
2021,2021-02,2021-02-03,52516
2021,2021-02,2021-02-02,136853
2021,2021-02,2021-02-01,180657
2021,2021-01,2021-01-31,135356
2021,2021-01,2021-01-30,184683
2021,2021-01,2021-01-29,500509
2021,2021-01,2021-01-28,502333
2021,2021-01,2021-01-27,77279
2021,2021-01,2021-01-26,91652
2021,2021-01,2021-01-25,38823
2021,2021-01,2021-01-24,43825
2021,2021-01,2021-01-23,70483
2021,2021-01,2021-01-22,143543
2021,2021-01,2021-01-21,49532
2021,2021-01,2021-01-20,34726
2021,2021-01,2021-01-19,127453
2021,2021-01,2021-01-18,47048
2021,2021-01,2021-01-17,36727
2021,2021-01,2021-01-16,40875
2021,2021-01,2021-01-15,58679
2021,2021-01,2021-01-14,109186
2021,2021-01,2021-01-13,257696
