,reporting_district,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
485,1249,0,1,0,0,21,0,0,0,0,0
486,1251,0,0,0,0,2,0,0,0,0,0
487,1208,0,0,0,0,1,0,0,0,0,0
488,1205,0,0,0,0,0,1,0,0,0,0
489,1142,0,2,0,1,0,0,0,0,0,0
490,1204,0,1,0,0,1,0,1,0,0,0
491,1145,2,0,1,0,0,0,0,1,0,0
492,1148,2,0,0,0,0,0,0,0,0,0
493,1149,0,3,1,0,0,0,0,0,0,0
494,1151,2,2,6,3,0,0,4,2,1,0
495,1159,4,4,0,0,0,0,0,0,0,0
496,1161,0,0,7,0,0,0,2,0,0,0
497,1163,0,0,4,0,0,0,1,2,0,0
498,1169,2,0,0,0,0,0,4,0,0,0
499,1171,2,0,0,1,0,0,0,0,0,0
500,1174,0,0,1,0,0,0,0,0,0,0
501,1177,3,0,0,0,0,0,0,0,0,0
502,1181,0,0,0,1,0,0,19,0,5,0
503,119,0,3,4,12,13,4,12,7,0,0
504,1195,0,0,0,3,0,0,0,0,0,0
505,1203,0,0,0,0,7,0,0,0,0,0
506,1457,0,0,0,1,0,1,0,0,0,0
507,146,1,6,31,57,61,72,33,36,7,0
508,1462,0,0,0,1,0,0,0,0,0,0
509,1834,0,2,0,0,0,0,0,0,0,0
510,1836,0,0,0,1,1,0,1,0,0,0
511,1837,0,2,0,8,3,5,1,0,0,0
512,1838,0,1,2,0,0,0,0,0,0,0
513,1841,3,2,8,10,22,93,0,0,0,0
514,1842,0,0,0,2,4,11,0,0,0,0
515,1844,0,2,5,6,7,10,0,0,0,0
516,1846,3,0,1,1,0,0,1,0,0,0
517,1849,2,0,1,0,0,0,0,0,0,0
518,1861,0,0,0,0,0,1,0,0,0,0
519,1862,0,0,1,0,1,1,0,0,0,0
520,1863,1,0,0,0,0,0,0,0,0,0
521,1871,0,0,1,0,2,0,0,0,0,0
522,1901,0,0,0,0,0,0,0,1,0,0
523,1902,4,0,0,0,0,0,0,0,0,0
524,1907,2,0,0,0,2,7,0,0,0,0
525,1835,0,0,0,1,1,0,0,0,0,0
526,1832,0,1,0,0,5,0,0,0,0,0
527,1911,0,0,0,1,0,0,0,0,0,0
528,1831,0,0,0,1,0,0,0,0,0,0
529,1776,0,1,0,0,0,0,0,0,0,0
530,1779,0,5,3,1,0,0,0,0,1,0
531,1788,0,0,0,0,0,0,1,0,0,0
532,1793,0,3,0,0,0,0,0,0,0,0
533,1794,0,0,0,0,1,0,0,0,0,0
534,1795,0,0,4,0,0,1,0,0,0,0
535,1799,0,0,0,1,0,0,0,0,0,0
536,1801,5,1,3,1,7,29,6,0,0,0
537,1802,0,0,4,3,9,46,13,0,0,0
538,1804,0,3,0,0,0,0,0,0,0,0
539,181,0,0,0,1,1,0,11,32,13,0
540,1821,1,1,17,7,28,72,0,0,0,0
541,1822,0,0,8,2,8,19,1,0,0,0
542,1826,0,0,0,0,0,0,1,0,0,0
543,1827,0,0,0,0,0,1,0,0,0,0
