president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Joseph R. Biden Jr.,All polls,6/26/2021,52.700349,57.240987,48.159711,41.799124,46.474652,37.123595,17:10:06 26 Jun 2021
Joseph R. Biden Jr.,All polls,6/25/2021,52.652664,57.087044,48.218283,42.12299,46.548173,37.697808,10:14:07 25 Jun 2021
Joseph R. Biden Jr.,All polls,6/24/2021,52.633511,57.104168,48.162855,42.132695,46.592459,37.672931,18:53:05 24 Jun 2021
Joseph R. Biden Jr.,All polls,6/23/2021,52.301904,56.923142,47.680666,42.363,46.878174,37.847827,18:54:05 23 Jun 2021
Joseph R. Biden Jr.,All polls,6/22/2021,51.763069,56.482787,47.043351,42.558624,47.32466,37.792589,20:36:06 22 Jun 2021
Joseph R. Biden Jr.,All polls,6/21/2021,51.666885,56.391086,46.942684,42.609325,47.432824,37.785825,09:45:06 21 Jun 2021
Joseph R. Biden Jr.,All polls,6/20/2021,51.760901,56.6662,46.855602,42.439348,47.436578,37.442119,08:17:09 21 Jun 2021
Joseph R. Biden Jr.,All polls,6/19/2021,51.760901,56.6662,46.855602,42.439348,47.436578,37.442119,08:17:11 21 Jun 2021
Joseph R. Biden Jr.,All polls,6/18/2021,51.760901,56.6662,46.855602,42.439348,47.436578,37.442119,13:05:06 18 Jun 2021
Joseph R. Biden Jr.,All polls,6/17/2021,51.680343,56.62454,46.736146,42.453913,47.427061,37.480766,20:59:06 17 Jun 2021
Joseph R. Biden Jr.,All polls,6/16/2021,51.939883,57.096692,46.783073,41.985094,47.152975,36.817213,12:23:07 16 Jun 2021
Joseph R. Biden Jr.,All polls,6/15/2021,52.95932,58.13022,47.788421,41.179657,46.740971,35.618343,10:24:09 15 Jun 2021
Joseph R. Biden Jr.,All polls,6/14/2021,53.112947,58.37504,47.850854,40.803505,46.412885,35.194124,13:14:08 14 Jun 2021
Joseph R. Biden Jr.,All polls,6/13/2021,53.186096,58.403023,47.969169,40.655173,46.006318,35.304029,13:02:10 14 Jun 2021
