OBJECTID,GbCity,City_CH,City_EN,GbProv,Prov_CH,Prov_EN,count,longitude,latitude
"280","5330",保山地区,Baoshandiqu,53.00000000000,云南省,Yunnan,"0",,
"281","5331",德宏傣族景颇族自治州,Dehongdaizujingpozu,53.00000000000,云南省,Yunnan,"0",,
"282","5332",丽江地区,Lijiangdiqu,53.00000000000,云南省,Yunnan,"0",,
"283","5333",怒江傈僳族自治州,Nujianglisuzu,53.00000000000,云南省,Yunnan,"0",,
"284","5334",迪庆藏族自治州,Diqingcangzu,53.00000000000,云南省,Yunnan,"0",,
"285","5335",临沧地区,Lincangdiqu,53.00000000000,云南省,Yunnan,"0",,
"286","5401",拉萨市,Lasa,54.00000000000,西藏,Xizang,"0",,
"287","5421",昌都地区,Changdudiqu,54.00000000000,西藏,Xizang,"0",,
"288","5422",山南地区,Shannandiqu,54.00000000000,西藏,Xizang,"0",,
"289","5423",日喀则地区,Rikazediqu,54.00000000000,西藏,Xizang,"0",,
"290","5424",那曲地区,Naqudiqu,54.00000000000,西藏,Xizang,"0",,
"291","5425",阿里地区,Alidiqu,54.00000000000,西藏,Xizang,"0",,
"292","5426",林芝地区,Linzhidiqu,54.00000000000,西藏,Xizang,"0",,
"294","6102",铜川市,Tongchuan,61.00000000000,陕西省,Shaanxi,"0",,
"295","6103",宝鸡市,Baoji,61.00000000000,陕西省,Shaanxi,"0",,
"297","6105",渭南市,Weinan,61.00000000000,陕西省,Shaanxi,"0",,
"299","6107",汉中市,Hanzhong,61.00000000000,陕西省,Shaanxi,"0",,
"301","6109",安康市,Ankang,61.00000000000,陕西省,Shaanxi,"0",,
"302","6125",商洛地区,Shangluodiqu,61.00000000000,陕西省,Shaanxi,"0",,
"304","6202",嘉峪关市,Jiayuguan,62.00000000000,甘肃省,Gansu,"0",,
"305","6203",金昌市,Jinchang,62.00000000000,甘肃省,Gansu,"0",,
"306","6204",白银市,Baiyin,62.00000000000,甘肃省,Gansu,"0",,
"307","6205",天水市,Tianshui,62.00000000000,甘肃省,Gansu,"0",,
"308","6221",酒泉地区,Jiuquandiqu,62.00000000000,甘肃省,Gansu,"0",,
"309","6222",张掖地区,Zhangyediqu,62.00000000000,甘肃省,Gansu,"0",,
"310","6223",武威地区,Wuweidiqu,62.00000000000,甘肃省,Gansu,"0",,
"311","6224",定西地区,Dingxidiqu,62.00000000000,甘肃省,Gansu,"0",,
"312","6226",陇南地区,Longnandiqu,62.00000000000,甘肃省,Gansu,"0",,
