location,precinct,vbm_only,registration,biden,trump,others,total_votes,biden_pct,trump_pct,others_pct,winner
BELL GARDENS,0800011A,N,2040,1026,256,31,1313,78.14,19.5,2.36,Biden
BELL GARDENS,0800012A,N,1765,931,190,15,1136,81.95,16.73,1.32,Biden
BELL GARDENS,0800016A,N,1887,916,247,26,1189,77.04,20.77,2.19,Biden
BELL GARDENS,0800017B,Y,143,72,22,1,95,75.79,23.16,1.05,Biden
BELVEDERE,0850001A,N,1915,1086,192,27,1305,83.22,14.71,2.07,Biden
BELVEDERE,0850005A,N,2071,1165,205,43,1413,82.45,14.51,3.04,Biden
BELVEDERE,0850006A,N,1938,1062,195,26,1283,82.77,15.2,2.03,Biden
BELVEDERE,0850011A,N,1972,1093,198,47,1338,81.69,14.8,3.51,Biden
BELVEDERE,0850012A,N,1969,1042,214,29,1285,81.09,16.65,2.26,Biden
BELVEDERE,0850013A,N,2009,1004,208,41,1253,80.13,16.6,3.27,Biden
BELVEDERE,0850015A,N,1729,970,135,41,1146,84.64,11.78,3.58,Biden
BELVEDERE,0850037C,N,2062,1099,172,30,1301,84.47,13.22,2.31,Biden
BELVEDERE,0850056A,N,2045,1151,169,34,1354,85.01,12.48,2.51,Biden
BELVEDERE,0850061A,N,2116,1238,219,39,1496,82.75,14.64,2.61,Biden
BEVERLY HILLS,0900001B,Y,0,0,0,0,0,,,,No votes
BEVERLY HILLS,0900004A,N,2689,1024,1282,19,2325,44.04,55.14,0.82,Trump
BEVERLY HILLS,0900004C,Y,0,0,0,0,0,,,,No votes
BEVERLY HILLS,0900004D,Y,0,0,0,0,0,,,,No votes
BEVERLY HILLS,0900006B,Y,15,5,9,1,15,33.33,60.0,6.67,Trump
BEVERLY HILLS,0900009A,N,2573,1151,1001,19,2171,53.02,46.11,0.88,Biden
BEVERLY HILLS,0900010A,N,2310,767,1138,22,1927,39.8,59.06,1.14,Trump
BEVERLY HILLS,0900014A,Y,2,0,1,1,2,0.0,50.0,50.0,Tie
BEVERLY HILLS,0900021A,N,2553,1456,666,22,2144,67.91,31.06,1.03,Biden
BEVERLY HILLS,0900025A,N,2538,1166,823,22,2011,57.98,40.92,1.09,Biden
BEVERLY HILLS,0900030A,N,2330,1067,802,25,1894,56.34,42.34,1.32,Biden
BEVERLY HILLS,0900033A,N,2589,1433,697,31,2161,66.31,32.25,1.43,Biden
BEVERLY HILLS,0900033B,Y,10,7,2,0,9,77.78,22.22,0.0,Biden
BEVERLY HILLS,0900041A,N,2703,1236,924,28,2188,56.49,42.23,1.28,Biden
BEVERLY HILLS,0900046A,N,2536,1141,980,13,2134,53.47,45.92,0.61,Biden
BONNER,0930001A,Y,1066,527,360,16,903,58.36,39.87,1.77,Biden
BRADBURY,0940002A,Y,798,334,303,9,646,51.7,46.9,1.39,Biden
BRADBURY,0940004A,Y,0,0,0,0,0,,,,No votes
BURBANK,0950001A,N,1918,895,620,38,1553,57.63,39.92,2.45,Biden
BURBANK,0950002A,N,2701,1331,631,56,2018,65.96,31.27,2.78,Biden
BURBANK,0950005B,N,2448,1350,530,35,1915,70.5,27.68,1.83,Biden
BURBANK,0950008A,N,2701,1111,1007,42,2160,51.44,46.62,1.94,Biden
BURBANK,0950012A,N,2489,1552,516,37,2105,73.73,24.51,1.76,Biden
BURBANK,0950013A,N,2552,1184,932,42,2158,54.87,43.19,1.95,Biden
BURBANK,0950019A,N,2288,1139,571,42,1752,65.01,32.59,2.4,Biden
BURBANK,0950025A,N,2545,1549,595,45,2189,70.76,27.18,2.06,Biden
BURBANK,0950029A,N,2027,968,604,27,1599,60.54,37.77,1.69,Biden
BURBANK,0950031A,N,2485,1426,480,39,1945,73.32,24.68,2.01,Biden
BURBANK,0950042A,N,2099,1161,395,31,1587,73.16,24.89,1.95,Biden
BURBANK,0950132A,N,2667,1533,611,42,2186,70.13,27.95,1.92,Biden
BURBANK,0950139C,N,2930,1434,726,36,2196,65.3,33.06,1.64,Biden
BURBANK,0950141A,N,2630,1087,1037,29,2153,50.49,48.17,1.35,Biden
BURBANK,0950144A,N,2559,1378,587,49,2014,68.42,29.15,2.43,Biden
BURBANK,0950146A,N,2265,1202,589,34,1825,65.86,32.27,1.86,Biden
BURBANK,0950148A,N,2570,1401,612,62,2075,67.52,29.49,2.99,Biden
BURBANK,0950155A,N,2240,1107,611,36,1754,63.11,34.83,2.05,Biden
BURBANK,0950157A,N,2513,1238,598,40,1876,65.99,31.88,2.13,Biden
BURBANK,0950160A,N,2559,1471,462,43,1976,74.44,23.38,2.18,Biden
BURBANK,0950163A,N,2382,1376,601,29,2006,68.59,29.96,1.45,Biden
BURBANK,0950166B,N,2605,1543,576,34,2153,71.67,26.75,1.58,Biden
BURBANK,0950177A,N,2396,1514,485,45,2044,74.07,23.73,2.2,Biden
BURBANK,0950178A,N,2296,1489,414,39,1942,76.67,21.32,2.01,Biden
BURBANK,0950181A,N,2214,1399,496,39,1934,72.34,25.65,2.02,Biden
BURBANK,0950186A,N,2258,1317,558,48,1923,68.49,29.02,2.5,Biden
BURBANK,0950190A,N,2082,1224,508,27,1759,69.58,28.88,1.53,Biden
BURBANK,0950191A,N,2044,1242,464,24,1730,71.79,26.82,1.39,Biden
BURBANK,0950193A,N,1988,1238,428,40,1706,72.57,25.09,2.34,Biden
BURBANK,0950197A,N,2351,1516,428,43,1987,76.3,21.54,2.16,Biden
CALABASAS,1000004A,Y,267,136,80,3,219,62.1,36.53,1.37,Biden
CALABASAS,1000007A,N,2676,1413,809,58,2280,61.97,35.48,2.54,Biden
CALABASAS,1000012A,N,2841,1522,888,25,2435,62.51,36.47,1.03,Biden
CALABASAS,1000015A,N,2583,1318,734,48,2100,62.76,34.95,2.29,Biden
CALABASAS,1000016A,N,2927,1693,818,32,2543,66.57,32.17,1.26,Biden
CALABASAS,1000033A,N,2668,1441,806,32,2279,63.23,35.37,1.4,Biden
CALABASAS,1000075A,N,2905,1623,817,51,2491,65.15,32.8,2.05,Biden
CANYON COUNTRY,1020005C,Y,20,6,16,0,22,27.27,72.73,0.0,Trump
CANYON COUNTRY,1020005F,Y,2,0,0,0,0,,,,No votes
CANYON COUNTRY,1020007A,Y,55,17,22,0,39,43.59,56.41,0.0,Trump
CANYON COUNTRY,1020007E,Y,7,3,1,0,4,75.0,25.0,0.0,Biden
CANYON COUNTRY,1020012A,Y,561,266,166,15,447,59.51,37.14,3.36,Biden
CANYON COUNTRY,1020017A,Y,247,87,148,3,238,36.55,62.18,1.26,Trump
CANYON COUNTRY,1020022A,Y,0,0,0,0,0,,,,No votes
CANYON COUNTRY,1020023A,Y,0,0,0,0,0,,,,No votes
CANYON COUNTRY,1020023B,Y,0,0,0,0,0,,,,No votes
CANYON COUNTRY,1020192A,Y,27,12,11,0,23,52.17,47.83,0.0,Biden
CANYON COUNTRY,1020244A,Y,652,211,294,19,524,40.27,56.11,3.63,Trump
CARSON,1030001A,N,1680,1025,106,22,1153,88.9,9.19,1.91,Biden
CARSON,1030001C,Y,0,0,0,0,0,,,,No votes
CARSON,1030003A,N,1589,899,186,23,1108,81.14,16.79,2.08,Biden
CARSON,1030010A,N,2198,1472,166,28,1666,88.36,9.96,1.68,Biden
CARSON,1030014A,N,2071,1288,243,19,1550,83.1,15.68,1.23,Biden
CARSON,1030016A,N,1989,894,400,32,1326,67.42,30.17,2.41,Biden
CARSON,1030019A,N,1898,975,313,29,1317,74.03,23.77,2.2,Biden
CARSON,1030020A,N,2024,1037,413,19,1469,70.59,28.11,1.29,Biden
CARSON,1030025C,N,2051,977,459,40,1476,66.19,31.1,2.71,Biden
CARSON,1030026A,N,1735,757,393,21,1171,64.65,33.56,1.79,Biden
CARSON,1030028A,N,2025,872,519,24,1415,61.63,36.68,1.7,Biden
CARSON,1030033A,N,2147,983,530,18,1531,64.21,34.62,1.18,Biden
CARSON,1030039A,N,1714,808,340,22,1170,69.06,29.06,1.88,Biden
CARSON,1030042C,N,2172,1106,439,23,1568,70.54,28.0,1.47,Biden
CARSON,1030043A,N,2163,1095,409,37,1541,71.06,26.54,2.4,Biden
CARSON,1030044A,N,2006,1015,387,29,1431,70.93,27.04,2.03,Biden
CARSON,1030045A,N,1571,710,156,28,894,79.42,17.45,3.13,Biden
CARSON,1030046A,N,1225,572,229,12,813,70.36,28.17,1.48,Biden
CARSON,1030048A,N,1685,815,349,16,1180,69.07,29.58,1.36,Biden
CARSON,1030049A,N,1902,909,425,23,1357,66.99,31.32,1.69,Biden
CARSON,1030050B,N,2154,994,485,39,1518,65.48,31.95,2.57,Biden
CARSON,1030053A,N,1551,1024,131,17,1172,87.37,11.18,1.45,Biden
CARSON,1030055A,N,1512,720,320,21,1061,67.86,30.16,1.98,Biden
CARSON,1030059A,N,2103,938,492,40,1470,63.81,33.47,2.72,Biden
CARSON,1030063A,N,2286,1091,555,26,1672,65.25,33.19,1.56,Biden
CARSON,1030067B,N,1955,1395,86,20,1501,92.94,5.73,1.33,Biden
CARSON,1030075A,N,1497,871,177,28,1076,80.95,16.45,2.6,Biden
CARSON,1030077A,N,2105,1088,381,28,1497,72.68,25.45,1.87,Biden
CARSON,1030101A,N,2133,1500,218,17,1735,86.46,12.56,0.98,Biden
CARSON,1030102A,N,1814,1203,139,18,1360,88.46,10.22,1.32,Biden
CARSON,1030104A,N,1835,1263,108,24,1395,90.54,7.74,1.72,Biden
CARSON,1030106A,N,2098,1408,135,17,1560,90.26,8.65,1.09,Biden
CARSON,1030109A,N,2062,1038,381,31,1450,71.59,26.28,2.14,Biden
CARSON,1030110A,Y,507,242,26,2,270,89.63,9.63,0.74,Biden
CARSON,1030112D,N,1986,981,345,35,1361,72.08,25.35,2.57,Biden
CASTAIC,1040001A,N,2472,967,1064,51,2082,46.45,51.1,2.45,Trump
CASTAIC,1040002A,N,1480,712,359,29,1100,64.73,32.64,2.64,Biden
CASTAIC,1040004A,N,2014,747,954,35,1736,43.03,54.95,2.02,Trump
CASTAIC,1040005A,Y,180,44,84,4,132,33.33,63.64,3.03,Trump
CASTAIC,1040012A,Y,144,61,39,6,106,57.55,36.79,5.66,Biden
CASTAIC,1040017B,N,2098,911,871,37,1819,50.08,47.88,2.03,Biden
