index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,adjusted_overtime,adjusted_wages,adjusted_benefits,employerfull,fire
934340,2018,CITY,206283.0,GLENDALE,FIRE,FIRE COMM OPERATOR 42 HR,7029.0,80899.0,38135.0,LOS ANGELES,7029.0,80899.0,38135.0,GLENDALE_CITY,True
934341,2018,CITY,206283.0,GLENDALE,FIRE,FIRE COMM OPERATOR 42 HR,22799.0,98297.0,28959.0,LOS ANGELES,22799.0,98297.0,28959.0,GLENDALE_CITY,True
934342,2018,CITY,206283.0,GLENDALE,FIRE,FIRE COMM OPERATOR 42 HR,28174.0,108628.0,34812.0,LOS ANGELES,28174.0,108628.0,34812.0,GLENDALE_CITY,True
934343,2018,CITY,206283.0,GLENDALE,FIRE,FIRE COMM OPERATOR 42 HR,28225.0,80296.0,32801.0,LOS ANGELES,28225.0,80296.0,32801.0,GLENDALE_CITY,True
934344,2018,CITY,206283.0,GLENDALE,FIRE,FIRE COMM OPERATOR 42 HR,0.0,4218.0,1745.0,LOS ANGELES,0.0,4218.0,1745.0,GLENDALE_CITY,True
934345,2018,CITY,206283.0,GLENDALE,FIRE,FIRE COMM OPERATOR 42 HR,1836.0,33802.0,10950.0,LOS ANGELES,1836.0,33802.0,10950.0,GLENDALE_CITY,True
934346,2018,CITY,206283.0,GLENDALE,FIRE,FIRE COMM OPERATOR 42 HR,3296.0,35300.0,10960.0,LOS ANGELES,3296.0,35300.0,10960.0,GLENDALE_CITY,True
934347,2018,CITY,206283.0,GLENDALE,FIRE,FIRE COMM OPERATOR 42 HR,4102.0,35821.0,10121.0,LOS ANGELES,4102.0,35821.0,10121.0,GLENDALE_CITY,True
934348,2018,CITY,206283.0,GLENDALE,FIRE,FIRE COMM OPERATOR 42 HR,38500.0,115156.0,31050.0,LOS ANGELES,38500.0,115156.0,31050.0,GLENDALE_CITY,True
934349,2018,CITY,206283.0,GLENDALE,FIRE,FIRE COMM OPERATOR 42 HR,180.0,19898.0,4968.0,LOS ANGELES,180.0,19898.0,4968.0,GLENDALE_CITY,True
934350,2018,CITY,206283.0,GLENDALE,FIRE,FIRE COMM OPERATOR 42 HR,280.0,14597.0,4580.0,LOS ANGELES,280.0,14597.0,4580.0,GLENDALE_CITY,True
934351,2018,CITY,206283.0,GLENDALE,FIRE,FIRE COMM OPERATOR 42 HR,0.0,4577.0,1104.0,LOS ANGELES,0.0,4577.0,1104.0,GLENDALE_CITY,True
934352,2018,CITY,206283.0,GLENDALE,FIRE,FIRE COMM OPERATOR 42 HR,20670.0,95946.0,38229.0,LOS ANGELES,20670.0,95946.0,38229.0,GLENDALE_CITY,True
934353,2018,CITY,206283.0,GLENDALE,FIRE,FIRE COMM OPERATOR 42 HR,36759.0,93152.0,30679.0,LOS ANGELES,36759.0,93152.0,30679.0,GLENDALE_CITY,True
