,zip,total
1479,95865,32
1480,95899,238
1481,95901,11322
1482,95903,105
1483,95912,1615
1484,95916,11
1485,95917,529
1486,95918,262
1487,95924,12
1488,95926,11911
1489,95927,363
1490,95928,13188
1491,95932,2540
1492,95937,11
1493,95938,1074
1494,95942,137
1495,95943,24
1496,95945,8930
1497,95946,3595
1498,95947,23
1499,95948,3300
1500,95949,8052
1501,95951,295
1502,95953,3212
1503,95954,2059
1504,95955,58
1505,95959,6997
1506,95960,42
1507,95961,9448
1508,95962,138
1509,95963,5622
1510,95965,5937
1511,95966,9634
1512,95967,23
1513,95968,102
1514,95969,2675
1515,95971,1491
1516,95973,16508
1517,95975,59
1518,95977,49
1519,95982,584
1520,95987,1774
1521,95988,2591
1522,95991,15013
1523,95992,68
1524,95993,16993
1525,96001,12946
1526,96002,12563
1527,96003,18045
1528,96007,7708
1529,96008,67
1530,96013,553
1531,96019,2732
1532,96020,381
1533,96021,5181
1534,96022,5755
1535,96025,60
1536,96027,245
1537,96028,40
1538,96032,201
1539,96035,383
1540,96039,55
1541,96041,127
1542,96049,208
1543,96051,16
1544,96052,22
1545,96055,644
1546,96056,38
1547,96057,28
1548,96064,809
1549,96067,2360
1550,96073,1336
1551,96078,11
1552,96080,11009
1553,96088,1028
1554,96093,823
1555,96094,1770
1556,96097,3003
1557,96099,22
1558,96101,942
1559,96103,291
1560,96114,492
1561,96118,57
1562,96120,11
1563,96122,650
1564,96127,95
1565,96130,5030
1566,96134,107
1567,96137,439
1568,96140,136
1569,96141,14
1570,96142,24
1571,96143,581
1572,96145,968
1573,96146,207
1574,96148,48
1575,96150,7044
1576,96151,940
1577,96158,350
1578,96160,260
1579,96161,7161
1580,96162,102
1581,97211,82
1582,97708,11
1583,98011,67
1584,98661,201
