,zip,toyota,honda,ford,chevrolet,nissan,bmw,hyundai,lexus,mercedes_benz,kia,total
157,90801,0,0,0,14,0,0,0,0,0,0,26
158,90802,2457,1846,832,645,1090,661,729,377,545,731,13222
159,90803,2549,1619,968,600,598,869,681,728,858,426,14881
160,90804,2655,2001,697,603,1257,287,602,294,281,731,11638
161,90805,7057,5485,1845,2674,3858,666,1212,814,648,2133,33006
162,90806,3423,2350,1745,922,1510,332,500,386,332,748,14439
163,90807,2928,2055,1160,785,933,501,685,520,566,572,13874
164,90808,3853,2619,1772,1389,873,517,913,656,521,756,18797
165,90810,3121,2413,839,1085,1525,305,497,286,274,789,13124
166,90813,3012,2411,739,899,1954,237,497,300,265,847,13258
167,90814,1510,1122,386,177,462,278,379,221,242,318,6815
168,90815,3760,2423,2132,1129,825,574,857,653,530,659,18277
169,91001,3141,2587,898,813,968,759,452,704,656,549,15982
170,91006,3743,2774,559,370,513,1162,317,1539,1706,196,16125
171,91007,3494,2618,411,270,587,1055,322,1369,1543,183,14619
172,91008,0,0,0,0,0,0,0,0,13,0,26
173,91010,2382,2209,643,685,1097,329,339,358,307,412,10262
174,91011,1979,1236,389,312,121,978,209,1083,993,130,11011
175,91016,3652,3374,1465,1177,1314,804,602,651,545,567,18160
176,91020,879,535,120,73,89,137,131,178,103,101,2718
177,91024,998,839,253,127,138,240,119,210,208,55,4175
178,91030,2623,1947,424,256,416,621,289,722,505,228,11265
179,91040,2281,1162,661,630,502,451,386,515,466,391,8971
180,91042,3156,1528,556,746,579,711,433,791,662,553,11878
181,91101,1579,1360,620,1070,468,425,291,312,411,205,8690
182,91103,1985,1667,537,617,810,432,277,262,393,390,9335
183,91104,3154,2589,648,610,924,620,418,579,476,488,13963
184,91105,886,590,191,43,87,601,58,505,591,57,6110
185,91106,2261,1676,531,292,520,547,299,437,517,276,9800
186,91107,3210,2628,695,530,692,959,428,961,1021,360,15983
187,91108,1023,717,105,0,23,711,24,711,1054,12,6055
188,91109,0,0,30,0,0,0,0,0,0,0,30
189,91201,2208,1078,342,556,409,774,383,785,761,510,9493
190,91202,2041,1199,234,451,392,883,393,854,882,441,9923
191,91203,1503,863,244,226,321,573,307,494,617,354,6619
192,91204,1528,892,410,280,423,775,291,482,479,350,7108
193,91205,3540,1960,352,625,755,939,632,1060,942,923,14024
194,91206,3062,1867,599,591,594,1143,553,1214,1144,687,14762
195,91207,822,501,104,126,61,492,122,352,525,113,4101
196,91208,1563,988,261,208,213,717,222,723,782,174,7722
197,91210,0,0,0,0,0,0,0,0,16,0,16
198,91214,4231,2335,630,607,513,888,597,1211,767,469,15741
199,91301,2031,1626,1137,493,416,964,438,908,796,229,13520
200,91302,1433,1128,756,343,272,1796,312,1218,1841,109,14817
201,91303,2263,1702,676,502,884,347,431,249,381,265,9013
202,91304,4590,3608,1637,1085,1548,818,891,1064,933,554,21100
203,91306,4852,3483,1177,1081,1464,631,775,929,724,467,18842
204,91307,2110,1956,879,432,473,790,489,822,804,247,12275
205,91311,3833,2941,1902,1141,1043,794,780,1157,1144,493,19558
206,91316,2366,1686,528,458,558,1014,637,1191,1283,380,13591
207,91320,4070,3441,2064,1413,1067,1169,830,1214,970,471,23980
208,91321,3250,2246,1214,946,1038,375,535,437,357,471,13532
209,91324,2939,2019,744,729,786,479,546,771,644,356,12256
210,91325,3306,2283,959,770,922,591,647,812,715,376,14232
211,91326,3847,2815,881,852,621,1477,659,1929,1903,359,20394
212,91331,9389,7246,2393,3414,4414,726,1061,803,735,1022,37929
213,91335,7816,5703,2064,1768,2621,928,1241,1201,1176,794,31352
214,91340,2968,2611,917,1412,1470,205,399,197,189,334,12630
215,91342,9278,7376,3532,3537,3923,929,1314,1189,1133,1305,42469
216,91343,6062,4111,2613,1438,2014,770,898,989,878,609,24658
217,91344,5670,3892,1711,1663,1391,1274,991,1648,1521,689,26400
218,91345,2098,1522,418,616,744,159,332,202,244,182,7527
219,91350,4455,3237,2094,1657,990,786,796,872,749,727,21890
220,91351,3689,2444,1264,1143,1152,348,607,406,352,526,14820
221,91352,4729,2818,1635,1532,1729,658,541,735,740,643,19275
222,91354,3232,2813,1182,959,684,838,654,985,774,456,17100
223,91355,3315,2502,2216,1012,821,863,723,919,692,466,17999
224,91356,2335,1665,666,389,646,1203,601,1373,1506,347,14593
225,91360,3829,3014,1904,1197,994,673,828,936,637,472,20334
226,91361,1455,1155,664,319,278,934,323,915,1062,110,11421
227,91362,3079,2468,1491,949,716,1636,675,1397,1483,374,22024
228,91364,2033,1436,872,401,420,1163,417,1208,1219,232,13916
